1175,the bed is too big for a bed to be stacked on <eol> beds don't have any place to do shopping <eol> bed is
452,a soldier cannot run through water. <eol> the thief will not work while a drop of tv. <eol> a person does not use a
275,the airplane does not belong in the oven <eol> not cooking things are used to process an ear. <eol> if frying his dishes is
869,sugar is sweet and used to taste sugar <eol> sugar is used specifically to make bread. <eol> sugar is used to enhance liquids.
50,"planes don't go in schools <eol> planes are usually closed at airports, not on bags. <eol> planes are not usually in travelling."
1155,a person call a toothbrush cannot be used to make phone calls <eol> a toothbrush cannot call someone <eol> a person cannot call a
1395,many things don't have drawers <eol> you do not have to obey something all all pirated manners <eol> rich don't depend on whether we
967,a whale is much bigger than a bear <eol> a mammal. is a fish and bear fish <eol> whales are not heavy enough to
906,boat is too laying up too dangerous to be above <eol> sea water is too dangerous <eol> boats are too dangerous to be on
1465,people are not alive and cannot be born <eol> most people are not alive <eol> children are not alive
1680,a window cannot flow into rain <eol> windows can be closed and opening a window would block it. <eol> trains are usually closed and
1964,milk cannot be used to produce people <eol> milk is not used to repair noodles. <eol> chopping isn't how to be erased with an
830,the right amount of power cannot flow by the speed of the car <eol> the telephone isn't caused by mobile cars. <eol> the telephone
174,wood is not a tool for making bombs <eol> wood does not explode. <eol> people use cattle to make wood
461,stores are typically checked by stores in the grocery store. <eol> grocery stores don't sell cars. <eol> grocery stores don't have jobs.
1978,people cannot wear water when they are kicked <eol> a wrong house cannot hold a water. <eol> a heavy finger will not hold his
495,boys cannot be able to shave <eol> a spatula cannot be worn. <eol> you cannot be able to draw a pictures
1388,people can't sleep by sleeping <eol> a person can not be comfortably during sleeping weather. <eol> if a person is out
1572,people won't die in front of gender in their body. <eol> a bird's mall is too dangerous to build in most places <eol> birds
305,no one eats basketball <eol> basketballs are not edible <eol> a basketball is not food.
1695,a pig cannot fit in a trash <eol> pigs are too large to put in a trash <eol> pigs are large and would not
1886,most places live in a park is safe <eol> too slow is a slow food <eol> too slow is a slow thing to find
878,humans can't fall because of ice <eol> there are no sunlight at life. <eol> humans cannot sleep even even dark.
754,the hair does not have hair <eol> you wouldn't have hair at the hair <eol> hair is not related to the hair
1444,human beings have only two other than two years. <eol> there are six animals three times. <eol> one does not have one quality in
1065,giraffes do not have tires. <eol> giraffes don't have legs and cannot ride or zoo. <eol> giraffes are not allowed to ride
543,sunglasses can not hold people's appearance <eol> sunglasses don't show correct people's ears. <eol> sunglasses do not wear glasses.
518,"people can not yet have relationships with their solar system, or aliens <eol> all people can't date as their marriage. <eol> people cannot date"
692,"television is not alive, so it cannot play music. <eol> a television is played in a video game and is not suitable for making<eol>None"
1296,rabbits are mammals and rabbits are mammals <eol> rabbits are mammals and rabbits are mammals <eol> rabbits are mammals and are unable to be
1893,cars do not belong in an oven. <eol> car is not used for sale in storage <eol> a car is too big to fit
1915,no one have surgery for color <eol> a human cannot turn into anything because they are already able to be turned into water. <eol>nan
418,it's not possible for people to learn in public english. <eol> there are no clothing in the cinema. <eol> cinema is not a place to park
953,a plane is too low for a medical ball. <eol> an aircraft do not have an ability to block the supermarket <eol> a mechanic does not normally have an atm
1148,plastic does not contain sugar <eol> plastic is an inanimate material. <eol> plastic is made by hydrogen
1943,tables do not eat people. <eol> turkey cannot ate. <eol> dumplings are a part of the food.
105,caloric can cause extra harm and makes people fatter. <eol> losing a lot with fat and weight is a good thing. <eol> junk food causes weight to gain weight
1222,you do not need to contact our eyes with actually reading actually in a normal contact with your eyes closed. <eol> eyes do not have hands to read <eol> eyes do not
400,the dogs can't talk <eol> dogs can not fly. <eol> dog don't talk.
1610,people don't use their eyes to tongue <eol> most people don't have teeth to be blown up <eol> if you are applied
230,the planets don't absorb water <eol> stones are solid objects. <eol> stones don't produce water.
1172,people sleep from death <eol> people are sleep when they are asleep and no sleep underground. <eol> overeating would kill you.
947,fish are not writing <eol> you cannot write with a cat. <eol> you cannot write through a pencil.
1144,you can't buy a cigarette without being expensive <eol> one can not purchase relationships with no way <eol> you can not purchase stars
1017,apple is a fruit <eol> apples are fruits and not fruit. <eol> apple is an element but not a fruit
1063,monkeys can't have mouths <eol> monkeys are inanimate objects that are born as they have a better time than humans <eol> monkeys do not have eyes.
930,school does not provide space <eol> there is no place to store in the sky. <eol> a school place wouldn't have facilities for fun.
83,hair can't do harm to hair <eol> if a knife is something you can do not have hair. <eol> without hair you can not look behind or hair
1145,eating some meat is not something like eating humans. <eol> dogs do not eat humans. <eol> dogs aren't poisonous for humans.
363,people do not use gasoline to catch people. <eol> you do not put gas in a clinic <eol> lotion is not used to catch the people.
338,a person can't grow a thief <eol> money cannot be used as a vegetable. <eol> money cannot be used to grow
391,tv has no use to put on the tv. <eol> tv can't wear <eol> tv can not be used to walking.
1139,there are few people in hotel <eol> microscopes are not normally associated with an exam <eol> a hotel is not normally found at a hotel.
688,people do not need to eat rocks. <eol> nobody can eat paper as food <eol> poison is not used to purchase medicine
704,mobile phones are not allowed to keep computer phone <eol> computer games are not available in mobile phones. <eol> mobile phones are not for mobile phones
1544,humans cannot breathe as land <eol> planet is more toxic <eol> water is a human and cannot be physically as a verb.
1760,a tree cannot be used for taking a job. <eol> a person can not take a fever. <eol> lion are meant to be cared by not handled life.
303,fire does not fire after fire <eol> fire is not flammable. <eol> fire gives burns heat
850,gloves will make people uncomfortable <eol> hearing sweets is not the thing to be taken to the toilet. <eol> people don't usually have to be hearing to read.
924,it is not possible to have a surgery to stand on one's own environment. <eol> the woman only have relationships but the means for persons can be used as a holiday on<eol>None
1840,jello would require no tank to hold in the tank <eol> car cannot used to hold cars. <eol> cars are used for tanks and not for cars
292,fridge is in the freezing area <eol> because it's cold in the ground would make it burn to be stored in the ground of food. <eol> he would be able to find
7,dogs cannot breathe underwater. <eol> dogs can't breathe underwater. <eol> dogs die in water
800,dinosaurs are extinct <eol> dinosaur is a wild thing not extinct. <eol> dinosaurs are extinct
1177,"the building is not inside of a man. <eol> roads are found in pools, and when they look in the ocean. <eol>nan"
259,sweaters aren't under the weight of the seafood <eol> an antelope has no bearing on the sea. <eol> you cannot go to
274,there's no teacher on a railway to be a late <eol> there are no potatos in a cloudy day. <eol> there are
1031,shoe cannot be used to hold her shoes. <eol> shoe cannot be used to drop her behavior. <eol> you cannot physically write
377,helicopters are not allowed to hunt from china <eol> helicopters don't teach from concerts. <eol> helicopters don't teach from street
1225,no one wear any legs to be around <eol> there are no train else in color. <eol> there are no benefit to
396,buildings don't tear buildings from walls <eol> you don't tear buildings from a buildings <eol> buildings do not have tear items
1860,eating raw meat can lead to strategy. <eol> eating meat isn't edible <eol> eating vegetables will not contain any nutritional value.
1500,no one can produce stars and heat at night <eol> the sun does not produce heat. <eol> sun comes from pigs.
1625,eyes cannot eat humans' eyes <eol> there isn't any eyes to eat her eyes <eol> you cant eat yourself with your eyes
896,"money is made of water, not seed <eol> although there was no money made of money and money is not edible. <eol>nan"
1704,a flute is for birth not a person. <eol> a woman cannot fit in a chest. with no arms. <eol> you cannot
1280,beer is not meant for humans <eol> humans can not be filled with ice. <eol> in order to drink beer from most
125,it's important to leave the light when the light emit light <eol> you should leave the light when you are late for<eol>None
1509,you can't dance through someone. <eol> dancing is not a dance <eol> you can dance through an object not with clothing.
458,train do not have wings <eol> trains don't have present to do with areas in cars <eol> trains do not have wings
697,shoes are not worn on one's foot. <eol> shoes are not worn on feet. <eol> shoes are not worn on feet.
1483,people do not drink hot air directly <eol> we drink with drinking but not drinking it <eol> people do not drink gas.
317,grass cannot be cut or cut with grass <eol> grass does not need to cut hair. <eol> grass cannot be cut apart.
757,restaurants are created for teachers <eol> nobody wants to write forward <eol> a pig does not earn money.
770,no one eats table <eol> table is not edible. <eol> people do not eat breakfast
1976,senators are used to serve patients <eol> vending machines are not edible. <eol> paper cannot be used to write.
970,"magic is not suitable for human beings <eol> magic doesn't has seeds <eol> nothing can kills people, they are kills"
1712,mobile phone is not eatable <eol> it is not possible to eat a mobile phone as they aren't edible. <eol> mobile phones
82,humans cannot be physically spongy <eol> no one can reborn in this world. <eol> rebirth of pants is a thing that cannot
438,the rain will fall up by bad weather. <eol> it would be bad to fall up in a bad weather <eol> no
1581,the spring is too high for summer <eol> most plants can survive in spring. <eol> the animal in the summer will not
1269,the density of the stone is bigger than the water <eol> stones will sink in water. <eol> stones are not bueyont.
255,"lion is a fish, is a ocean. <eol> lion is a land animal <eol> lions are too large to be in antarctica."
717,the silver is too small to shoot down a country. <eol> a refrigerator makes down a small temperature. <eol> small cards are
1505,people don't eat breakfast at night. <eol> breakfast is eaten at night and cannot eat <eol> breakfast is the breakfast
999,"it is easy for a person to be in the trees, they are easy to be able to be in the absence<eol>None<eol>None"
247,"driving isn't used to catch cars. <eol> cars don't need rocket <eol> cars do not driven at college, so no cars can travel to outer space"
1784,"people can feel relaxed on their bare heads and eaten with cats. <eol> no one wants to feel trees, they can be able to stop a person. <eol> there is no technology in mars."
226,a library doesn't have a river <eol> libraries do not have ice. <eol> a library is not a place where a bridge is
1843,an adult is still people's heads <eol> nobody gets young if you are always able to die <eol> this statement is against common sense because if a person was alive you can be alive
1122,water travels essential and it's harmful to people. <eol> water is always sweet. <eol> water is always sweet.
860,"crying ovens cannot produce food, but height food <eol> after eating food, cannot keep it clean, but in order to stain or order food <eol> after eating food, cannot keep you clean, but throw"
1490,people cannot eat <eol> dumbells are non important thing and cannot be eaten <eol> people are not normally edible.
1448,the right of public people are not responsible for keeping the rights to be able to amplify and walking the world. <eol> this statement is against common sense because the most people that are<eol>None
1645,no one can be able to draw onto a cloth <eol> humans are typically worn between transportation and not for nobody <eol> smells cannot be ridden.
1718,planes are located on lot of airplanes. <eol> planes are not in space. <eol> planes can only run on land
1689,there is no car thing called thing <eol> cats don't burn fire <eol> cats don't burn
877,wood has long necks for sunlight <eol> spiders do not have long time to be used for five days <eol> five shelters are for only.
1692,a stove doesn't have much heat for human reading <eol> a stove doesn't have a stove <eol> a stove is not a word for reading
780,people can't wear stones <eol> stones are not usually worn with nice days. <eol> you can't wear a piece of sneakers
1092,a goldfish is not a necessary tool to lift anything. <eol> goldfish are not mammals. <eol> goldfish are not served in bouquets and fork cannot survive inside.
569,a porkipine cannot fit in a microwave. <eol> dumplings are too big to fit in a microwave. <eol> dumplings are made of wood and cannot put in the microwave.
1410,people don't eat rocks. <eol> children do not normally have guests <eol> normally people do not eat rocks.
