,microtca,microtcb
0,-0.166117910078372,0
1,-1.071707284661644,0
2,-2.460764458815696,0
3,-0.719603686668362,0
4,0.071050048089368,1
5,-0.47276226722430703,0
6,-0.536887100762764,0
7,-1.44973690541048,0
8,0.32882421340696205,1
9,-1.020951585973573,0
10,-0.20364277977901402,0
11,0.13093344984378502,1
12,-1.01478920407047,0
13,-1.089795442098751,0
14,-0.30672591389423504,0
15,-0.8378683426060931,0
16,-0.8578209396045421,0
17,-1.181508262168933,0
18,0.250216690972073,1
19,0.24340519546750403,1
20,1.002834289512428,1
21,-0.321861747668571,0
22,-1.9341712931195332,0
23,-0.587045385863448,0
24,-0.345660635523354,0
25,0.40573958022619705,1
26,-1.051829050566331,0
27,-0.679553254671297,0
28,-0.840327152054521,0
29,0.12177378105945201,1
30,-0.9417005488509341,0
31,1.109055629908764,1
32,0.37230071529170405,1
33,-0.601243708547165,0
34,0.232286125902108,1
35,0.29903721773685205,1
36,-0.730880306365798,0
37,-0.7895919392313581,0
38,-0.5399110704867021,0
39,-0.177437058522763,0
40,1.245558539742623,1
41,0.557947220870682,1
42,0.45501603459958606,1
43,0.247410166379243,1
44,-0.439957723743209,0
45,-0.17302157102486201,0
46,0.28685384646482104,1
47,0.191671985823192,1
48,0.7245844082467471,1
49,-0.630643145571517,0
50,-0.7865655551813481,0
51,1.750285677180182,1
52,0.7097069778531171,1
53,-0.786801209701375,0
54,-0.414122181294288,0
55,0.09014727516623601,1
56,-0.6875926053475261,0
57,-0.496210135713371,0
58,0.259372933695096,1
59,-0.650423890418929,0
60,-1.189571707908693,0
61,-0.046554472633273,0
62,-0.00724687915328,0
63,-0.615186580869999,0
64,-1.542101354804845,0
65,-0.161480432914718,0
66,1.675227694557184,1
67,-0.44529229424276706,0
68,-0.022900050765583,0
69,-1.133926544938639,0
70,-1.3261971596101931,0
71,-1.689524382129434,0
72,-1.014066394153588,0
73,-1.259132660020742,0
74,-0.538976246042085,0
75,-1.141746878222191,0
76,-0.37281300360087205,0
77,-1.197091319277952,0
78,-1.068916200876469,0
79,0.15465730330934102,1
80,-0.6547911810278271,0
81,-0.840486443080886,0
82,0.723506577776412,1
83,-0.727439062599823,0
84,0.24343654950227703,1
85,-0.775092427510211,0
86,-0.43186913601243204,0
87,0.772946237086617,1
88,0.268734642659941,1
89,0.8035419678583251,1
90,0.8516032396908111,1
91,-1.378077102955103,0
92,-1.125313445245658,0
93,1.033010662451666,1
94,0.131962746301293,1
95,-0.9308409228108361,0
96,0.6322114381404721,1
97,-0.04470355186573,0
98,0.101101033042908,1
99,-0.21417626269731302,0
100,-0.559805119198984,0
101,-0.301560473710315,0
102,-1.882241599571108,0
103,-1.1518373106595,0
104,-2.088531080480595,0
105,-1.102639081875881,0
106,-0.611535983771481,0
107,0.249533694249388,1
108,0.14479592704601502,1
109,0.12342960471343702,1
110,0.055498244175381004,1
111,1.320004311539373,1
112,1.710518481179288,1
113,1.4580514303828531,1
114,-0.9490957602187081,0
115,1.006015745444832,1
116,-0.9742827143914611,0
117,-0.60230390779439,0
118,0.425754921618385,1
119,-1.130273413651996,0
120,-0.8074898536030981,0
121,-0.23346627053964403,0
122,-0.9394229637631201,0
123,0.9460381370495511,1
124,-0.597514017855591,0
125,-0.15504665762149,0
126,-1.153010998900313,0
127,-0.758606305968332,0
